8.474576271186440302e-02,3.088235294117646079e-01,3.800000000000000044e-01,3.889980353634577837e-01,5.120481927710843900e-02,4.761904761904762751e-01,4.621212121212120993e-01,3.728267868641310656e-01,5.904761904761901548e-01,2.702702702702702298e-01,6.037735849056602433e-01,0.000000000000000000e+00
2.203389830508475367e-01,3.823529411764704511e-01,5.799999999999999600e-01,5.658153241650294429e-01,9.036144578313254350e-02,3.714285714285714413e-01,3.674242424242424310e-01,6.683837733419153437e-01,4.095238095238094012e-01,3.378378378378377733e-01,9.433962264150941301e-02,0.000000000000000000e+00
5.423728813559323125e-01,7.499999999999998890e-01,3.800000000000000044e-01,4.518664047151276786e-01,8.644578313253010737e-01,2.000000000000000111e-01,7.651515151515151381e-01,7.649710238248559335e-01,2.095238095238092235e-01,2.972972972972972028e-01,1.320754716981131782e-01,0.000000000000000000e+00
3.050847457627119397e-01,2.647058823529411242e-01,4.199999999999999845e-01,2.986247544204321813e-01,9.036144578313254350e-02,5.428571428571429269e-01,6.742424242424243097e-01,5.280103026400553290e-01,3.999999999999999112e-01,2.972972972972972028e-01,1.698113207547169434e-01,0.000000000000000000e+00
3.050847457627119397e-01,8.823529411764705066e-02,2.500000000000000000e-01,3.614931237721021873e-01,1.054216867469879582e-01,5.380952380952381819e-01,4.507575757575757458e-01,4.880875724404347693e-01,4.190476190476193352e-01,1.621621621621621157e-01,2.830188679245282390e-01,0.000000000000000000e+00
3.389830508474576121e-01,1.323529411764705899e-01,3.300000000000000155e-01,1.689587426326129849e-01,9.939759036144577009e-02,3.714285714285714413e-01,4.242424242424242542e-01,3.483580167417770213e-01,3.809523809523809312e-01,4.054054054054054279e-01,4.716981132075472871e-01,0.000000000000000000e+00
4.745762711864407457e-01,2.941176470588234837e-01,2.700000000000000178e-01,3.929273084479371070e-01,7.530120481927710108e-02,2.666666666666666630e-01,3.825757575757575690e-01,6.909207984545986392e-01,5.238095238095237249e-01,5.405405405405400154e-02,1.509433962264152829e-01,0.000000000000000000e+00
4.237288135593220151e-01,2.058823529411764330e-01,4.299999999999999933e-01,5.500982318271119276e-02,2.108433734939759580e-02,1.619047619047619124e-01,1.931818181818181768e-01,1.661300708306470142e-01,3.428571428571429713e-01,4.054054054054054279e-01,6.981132075471694343e-01,0.000000000000000000e+00
4.915254237288135819e-01,3.529411764705882026e-01,2.700000000000000178e-01,3.222003929273084544e-01,1.475903614457831081e-01,3.428571428571428603e-01,6.287878787878788955e-01,6.104314230521481477e-01,3.523809523809520172e-01,4.999999999999999445e-01,1.320754716981131782e-01,0.000000000000000000e+00
5.084745762711864181e-01,8.823529411764705066e-02,4.099999999999999756e-01,4.322200392927308399e-02,3.614457831325302434e-02,2.476190476190476275e-01,4.621212121212120993e-01,2.305215711526003020e-01,2.857142857142855874e-01,7.027027027027028527e-01,7.547169811320753041e-01,0.000000000000000000e+00
3.559322033898306703e-01,2.647058823529411242e-01,2.999999999999999889e-01,3.025540275049116157e-01,3.614457831325302434e-02,3.238095238095238249e-01,3.598484848484848619e-01,2.556342562781637184e-01,2.571428571428571175e-01,1.621621621621621157e-01,7.169811320754719830e-01,1.000000000000000000e+00
